sexo,edad,rango_edad,nivel_parentesco_jefe_hogar,demografia_sk
Mujer,43.0,31-60,Jefe(a) del hogar,1
Mujer,16.0,0-18,Hijo(a),2
Hombre,54.0,31-60,Jefe(a) del hogar,3
Mujer,50.0,31-60,Pareja,4
Hombre,24.0,19-30,Hijo(a),5
Mujer,24.0,19-30,Hijo(a),6
Hombre,1.0,0-18,Nieto(a),7
Mujer,57.0,31-60,Jefe(a) del hogar,8
Mujer,77.0,61+,Padre/Madre,9
Mujer,65.0,61+,Jefe(a) del hogar,10
Hombre,64.0,61+,Pareja,11
Mujer,45.0,31-60,Jefe(a) del hogar,12
Mujer,22.0,19-30,Hijo(a),13
Mujer,71.0,61+,Jefe(a) del hogar,14
Mujer,74.0,61+,Jefe(a) del hogar,15
Mujer,50.0,31-60,Jefe(a) del hogar,16
Mujer,27.0,19-30,Hijo(a),17
Mujer,26.0,19-30,Hijo(a),18
Mujer,19.0,19-30,Hijo(a),19
Mujer,14.0,0-18,Hijo(a),20
Mujer,33.0,31-60,Jefe(a) del hogar,21
Hombre,25.0,19-30,Jefe(a) del hogar,22
Mujer,24.0,19-30,Pareja,23
Hombre,7.0,0-18,Hijo(a),24
Hombre,3.0,0-18,Hijo(a),25
Mujer,63.0,61+,Jefe(a) del hogar,26
Mujer,96.0,61+,Padre/Madre,27
Mujer,66.0,61+,Jefe(a) del hogar,28
Mujer,29.0,19-30,Hijo(a),29
Mujer,13.0,0-18,Nieto(a),30
Hombre,40.0,31-60,Jefe(a) del hogar,31
Mujer,31.0,31-60,Pareja,32
Hombre,10.0,0-18,Hijo(a),33
Hombre,0.0,0-18,Hijo(a),34
Mujer,28.0,19-30,Jefe(a) del hogar,35
Hombre,40.0,31-60,Pareja,36
Hombre,27.0,19-30,Jefe(a) del hogar,37
Mujer,29.0,19-30,Pareja,38
Hombre,81.0,61+,Jefe(a) del hogar,39
Mujer,40.0,31-60,Jefe(a) del hogar,40
Hombre,16.0,0-18,Hijo(a),41
Hombre,46.0,31-60,Jefe(a) del hogar,42
Mujer,51.0,31-60,Jefe(a) del hogar,43
Mujer,23.0,19-30,Hijo(a),44
Hombre,5.0,0-18,Hijo(a),45
Mujer,85.0,61+,Padre/Madre,46
Hombre,56.0,31-60,Jefe(a) del hogar,47
Mujer,55.0,31-60,Pareja,48
Hombre,32.0,31-60,Hijo(a),49
Hombre,28.0,19-30,Hijo(a),50
Hombre,76.0,61+,Jefe(a) del hogar,51
Mujer,76.0,61+,Pareja,52
Hombre,19.0,19-30,Nieto(a),53
Hombre,32.0,31-60,Jefe(a) del hogar,54
Mujer,38.0,31-60,Hermano(a),55
Hombre,12.0,0-18,Otro pariente,56
Hombre,75.0,61+,Jefe(a) del hogar,57
Mujer,70.0,61+,Pareja,58
Hombre,37.0,31-60,Jefe(a) del hogar,59
Mujer,32.0,31-60,Pareja,60
Hombre,12.0,0-18,Hijo(a),61
Hombre,8.0,0-18,Hijo(a),62
Hombre,72.0,61+,Jefe(a) del hogar,63
Mujer,74.0,61+,Pareja,64
Mujer,37.0,31-60,Hijo(a),65
