alfabetizado,actualmente_estudia,nivel_educativo_alcanzado,nivel_educativo_aprobado,nivel_educativo_matriculado,nivel_educativo_en_curso,recibe_plantel_edu_alimentos,pensiones_modalidad_presencial,pensiones_modalidad_virtual,pensiones_modalidad_mixta,comunicacion_maestros_sp,educacion_sk
Sí,No,Media (10º--13º),Universitario con título,,,,,,,,1
Sí,Sí,,,Media (10 a 13),11.0,Sí,1.0,2.0,2.0,Sí,2
Sí,No,Ninguno,,,,,,,,,3
Sí,No,Básica Primaria (1º - 5º),Media (10º--13º),,,,,,,,4
Sí,No,Básica secundaria (6º--9º),Tecnológico con título,,,,,,,,5
,,,,,,,,,,,6
Sí,No,Básica secundaria (6º--9º),Tecnológico sin título,,,,,,,,7
Sí,No,Técnico con título,Preescolar,,,,,,,,8
Sí,Sí,,,Universitario,6.0,No,1.0,2.0,2.0,,9
Sí,No,Técnico con título,Básica Primaria (1º - 5º),,,,,,,,10
Sí,No,Universitario con título,Media (10º--13º),,,,,,,,11
Sí,Sí,,,Universitario,2.0,No,1.0,2.0,2.0,,12
Sí,Sí,,,Media (10 a 13),10.0,No,1.0,2.0,2.0,No,13
Sí,Sí,,,Básica secundaria (6 a 9),9.0,Sí,1.0,2.0,2.0,Sí,14
Sí,Sí,,,Básica secundaria (6 a 9),9.0,No,1.0,2.0,2.0,Sí,15
Sí,Sí,,,Básica Primaria (1 a 5),2.0,Sí,1.0,2.0,2.0,Sí,16
No,No,Básica Primaria (1º - 5º),Preescolar,,,,,,,,17
No,No,Ninguno,,,,,,,,,18
Sí,No,Básica Primaria (1º - 5º),Preescolar,,,,,,,,19
Sí,Sí,,,Básica secundaria (6 a 9),7.0,No,1.0,2.0,2.0,No,20
Sí,Sí,,,Básica Primaria (1 a 5),5.0,Sí,1.0,2.0,2.0,Sí,21
Sí,No,Tecnológico con título,Preescolar,,,,,,,,22
Sí,No,Básica Primaria (1º - 5º),Básica secundaria (6º--9º),,,,,,,,23
Sí,No,Técnico con título,Ninguno,,,,,,,,24
Sí,Sí,,,Técnico,1.0,No,1.0,2.0,2.0,,25
No,Sí,,,Preescolar (1 a 3),1.0,No,1.0,2.0,2.0,No,26
Sí,No,Básica secundaria (6º--9º),Técnico con título,,,,,,,,27
Sí,Sí,,,Media (10 a 13),10.0,No,1.0,2.0,2.0,Sí,28
Sí,No,Básica Primaria (1º - 5º),Básica Primaria (1º - 5º),,,,,,,,29
Sí,No,Básica Primaria (1º - 5º),Ninguno,,,,,,,,30
Sí,Sí,,,Básica secundaria (6 a 9),6.0,No,1.0,2.0,2.0,Sí,31
Sí,No,Media (10º--13º),Universitario sin título,,,,,,,,32
Sí,Sí,,,Básica Primaria (1 a 5),3.0,Sí,1.0,2.0,2.0,Sí,33
Sí,Sí,,,Preescolar (1 a 3),1.0,Sí,1.0,2.0,2.0,Sí,34
Sí,Sí,,,Universitario,3.0,,2.0,1.0,2.0,,35
