actividad_de_mayor_tiempo_sp,actividad_pagada_sp,trabajo_externo_por_ingresos_sp,trabajo_sin_pago_sp,disponibilidad_posible_trabajo_sp,cotiza_fondo_de_pensiones,actividad_dedicada_del_negocio,trabajo_sk
Trabajando,,,,,No,VENTA DE TAMALES,1
Estudiando,No,No,No,,No,None,2
Trabajando,,,,,No,SERVICIO DE COSTRUCCION DE VIVIENDA,3
Otra actividad ¿cuál?,No,No,No,,No,None,4
Buscando trabajo,No,No,No,Sí,No,None,5
Trabajando,,,,,No,SUPERGIRO,6
,,,,,,None,7
Oficios del hogar,No,No,No,,No,None,8
Trabajando,,,,,No,PESCA Y VENDE PESCADO,9
Trabajando,,,,,Sí,CONTROL Y REGULACION DEL SISTEMA DE SALUD MUNICIPAL Y DEPARTAMENTAL,10
Oficios del hogar,No,No,No,,Ya es pensionado,None,11
Oficios del hogar,No,No,No,Sí,No,None,12
Trabajando,,,,,Sí,REVISION DE DOCUMENTOS ARCHIVAR DOCUMENTOS,13
Trabajando,,,,,Sí,JEFE DE ENFERMERIA,14
Estudiando,No,No,No,,,None,15
Trabajando,,,,,No,ASEO,16
Trabajando,,,,,No,SERVICIO DE CONSTRUCCION DE CASAS Y VIVIENDAS,17
Buscando trabajo,Sí,,,,No,SERVICIO DOMESTICO A HOGARES,18
Oficios del hogar,No,Sí,,,No,VENTA DE COSMETICOS,19
Trabajando,,,,,No,PREPARACION DE ALIMENTOS EN FINCA,20
Trabajando,,,,,No,SERVICIO TECNICO Y DE REPARACION AUTOMOTOR,21
Trabajando,,,,,No,SERVICIO DE TRANSPORTE DE PASAJEROS EN MOTOCICLETA,22
Trabajando,,,,,Sí,ASOCIACION DE CAUCHEROS DEL CAQUETA,23
Trabajando,,,,,Sí,SERVICIO Y ASESORIA DE PRODUCTOS INMOBILIARIOS,24
Trabajando,,,,,No,SERVICIO DE CARGUE Y DESCARGUE DE CAMIONES,25
Trabajando,,,,,No,VENTA AMBULANTE DE CONTROLES Y MEDIAS PUERTA A PUERTA,26
Trabajando,,,,,Ya es pensionado,VENTA DE PRODUCTOS COMESTIBLES Y BEBIDAS,27
Incapacitado permanentemente para trabajar,,,,,No,None,28
Trabajando,,,,,No,OBRAS DE CONSTRUCCION,29
Trabajando,,,,,No,ENTREGAS ESPECIALES,30
Trabajando,,,,,No,PINTURA AUTOMOTRIZ,31
Trabajando,,,,,No,ACTIVIDAD AGROPECUARIA ORDENO GANADO BOVINO,32
Trabajando,,,,,No,COMPRA Y VENTA DE BOLSAS DE BASURAS,33
Trabajando,,,,,No,ELABORACION DE PUERTAS Y VENTANAS EN HIERRO,34
Buscando trabajo,Sí,,,,No,SERVICIO DE CONSTRUCCION DE CASAS Y VIVIENDA,35
Oficios del hogar,Sí,,,,No,CORTAR CESPED,36
Trabajando,,,,,Sí,SERVICIOS FINANCIEROS,37
Trabajando,,,,,No,MAYORISTA DE PRODUCTOS AGRICOLAS,38
Trabajando,,,,,No,ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS,39
Trabajando,,,,,No,SERVICIO DE RESTAURANTE,40
Trabajando,,,,,No,CONSTRUCCION OBRA GRIS,41
Trabajando,,,,,No,VENTA DE ALIMENTOS CALLE,42
Trabajando,,,,,No,VENDEDORA AMBULANTE,43
Trabajando,,,,,No,ARREGLOS DE INTERIORES DR CASAS,44
Oficios del hogar,Sí,,,,No,HOGARES,45
Oficios del hogar,Sí,,,,No,SERVICIO DE PELUQUERIA,46
Trabajando,,,,,Sí,CONTABILIDAD,47
Trabajando,,,,,No,SERVICIO DE TRASPORTE DE PERSONAS EN MOTOCICLETA,48
Trabajando,,,,,Sí,SERVICIOS DE EDUCACION,49
Trabajando,,,,,Sí,PUBLICIDAD Y MEDIOS DE COMUNICACION,50
Trabajando,,,,,Sí,ASOCIACION NACIONAL DE INDUSTRIALES,51
Trabajando,,,,,Sí,PROFESOR DERECHO CIVIL Y PUBLICO,52
Trabajando,,,,,No,SERVICIO DE ACARREOS,53
Buscando trabajo,Sí,,,,No,ELECTRICIDAD AUTOMOTRIZ,54
Trabajando,,,,,Sí,TRAMITACION LEGAL PARA CONSEGUIR VISAS,55
Oficios del hogar,Sí,,,,No,OFICIOS VARIOS COMO MAESTRA,56
Estudiando,Sí,,,,No,VENTA DE LICOR AL POR MENOR A CLIENTES,57
Trabajando,,,,,No,AGROPECUARIA PRODUCCION LECHERA DE GANADO BOVINO,58
Trabajando,,,,,Sí,PRESTACION DE SERVICIOS DE SALUD EN CLINICA,59
Trabajando,,,,,No,SERVICIO DE MANIQUIUR Y PEDICURE,60
Trabajando,,,,,No,PRODUCCION DE CULTIVO DE PLATANO,61
Trabajando,,,,,No,HOGARES,62
Trabajando,,,,,Sí,VENTA AL POR MAYOR Y AL POR MENOR DE DESECHABLES Y PLASTICOS,63
Trabajando,,,,,No,MECANICA MOTOS,64
